step,train_acc
0,0.625
100,0.875
200,0.5
300,0.75
400,0.375
500,0.375
600,0.375
700,0.75
800,0.625
900,0.375
1000,1.0
1100,0.625
1200,0.75
1300,0.375
1400,0.25
1500,0.375
1600,0.5
1700,0.625
1800,0.5
1900,0.375
2000,0.75
2100,0.5
2200,0.875
2300,0.625
2400,0.875
2500,0.5
2600,0.75
2700,0.5
2800,0.75
2900,0.625
3000,0.625
3100,0.5
3200,0.5
3300,0.5
3400,0.75
3500,0.5
3600,0.875
3700,0.875
3800,0.75
3900,0.625
4000,0.875
4100,0.875
4200,0.75
4300,0.75
4400,0.5
4500,0.875
4600,0.5
4700,0.875
4800,0.75
4900,0.625
5000,0.75
5100,0.875
5200,0.875
5300,0.875
5400,1.0
5500,1.0
5600,1.0
5700,0.875
5800,0.75
5900,0.75
6000,0.75
6100,0.625
6200,0.75
6300,1.0
6400,1.0
6500,0.875
6600,1.0
6700,0.875
6800,0.875
6900,1.0
7000,0.625
7100,0.75
7200,0.75
7300,0.5
7400,1.0
7500,1.0
7600,0.625
7700,0.875
7800,1.0
7900,1.0
8000,0.375
8100,0.875
8200,0.75
8300,1.0
8400,0.75
8500,0.75
8600,0.75
8700,0.875
8800,1.0
8900,0.625
9000,0.75
9100,0.875
9200,0.875
9300,0.875
9400,0.625
9500,0.875
9600,1.0
9700,1.0
9800,0.875
9900,1.0
10000,1.0
10100,0.75
10200,0.375
10300,0.875
10400,0.875
10500,0.875
10600,1.0
10700,0.875
10800,1.0
10900,0.5
11000,1.0
11100,0.625
11200,0.75
11300,1.0
11400,0.875
11500,1.0
11600,0.75
11700,0.875
11800,0.75
11900,1.0
12000,0.875
12100,0.875
12200,0.875
12300,1.0
12400,0.875
12500,0.875
12600,1.0
12700,0.75
12800,0.875
12900,1.0
13000,1.0
13100,0.875
13200,0.875
13300,1.0
13400,0.875
13500,1.0
13600,1.0
13700,1.0
13800,1.0
13900,1.0
14000,1.0
14100,0.875
14200,1.0
14300,1.0
14400,0.625
