step,train_acc
14500,0.875
14600,0.625
14700,0.875
14800,1.0
14900,1.0
15000,0.875
15100,1.0
15200,1.0
15300,1.0
15400,1.0
15500,0.875
15600,0.875
15700,1.0
15800,1.0
15900,0.75
16000,0.375
16100,1.0
16200,1.0
16300,0.625
16400,0.625
16500,0.875
16600,1.0
16700,1.0
16800,1.0
16900,1.0
17000,1.0
17100,0.625
17200,0.75
17300,0.875
17400,1.0
17500,0.875
17600,0.875
17700,0.875
17800,1.0
17900,0.75
18000,1.0
18100,1.0
18200,1.0
18300,0.75
18400,1.0
18500,0.75
18600,0.75
18700,1.0
18800,1.0
18900,0.875
19000,1.0
19100,1.0
19200,0.75
19300,0.875
19400,1.0
19500,1.0
19600,0.875
19700,1.0
19800,1.0
19900,0.875
20000,0.75
20100,1.0
20200,0.875
20300,1.0
20400,0.75
20500,0.875
20600,0.875
20700,1.0
20800,0.875
20900,1.0
21000,1.0
21100,1.0
21200,1.0
21300,0.75
21400,1.0
21500,1.0
21600,1.0
21700,1.0
21800,0.875
21900,0.875
22000,0.875
22100,0.75
22200,0.875
22300,1.0
22400,0.875
22500,1.0
22600,0.875
22700,0.75
22800,1.0
22900,0.875
23000,1.0
23100,0.875
23200,0.875
23300,1.0
23400,1.0
23500,1.0
23600,0.875
23700,1.0
23800,1.0
23900,0.875
24000,0.875
24100,1.0
24200,0.75
24300,1.0
24400,1.0
24500,1.0
24600,0.75
24700,1.0
24800,1.0
24900,1.0
25000,0.875
25100,0.875
25200,1.0
25300,0.875
25400,1.0
25500,1.0
25600,1.0
25700,0.75
25800,1.0
25900,0.875
26000,0.75
26100,1.0
26200,0.875
26300,0.875
26400,0.875
26500,1.0
26600,1.0
26700,1.0
26800,1.0
26900,0.875
27000,1.0
27100,0.875
27200,0.875
27300,1.0
27400,1.0
27500,1.0
27600,0.875
27700,1.0
27800,1.0
27900,1.0
28000,1.0
28100,0.875
28200,1.0
28300,0.875
28400,1.0
28500,1.0
28600,1.0
28700,0.875
28800,1.0
28900,1.0
29000,1.0
29100,1.0
29200,1.0
29300,1.0
29400,0.875
29500,0.875
29600,0.75
29700,1.0
29800,0.875
29900,1.0
30000,0.875
30100,1.0
30200,0.875
30300,0.875
30400,1.0
30500,1.0
30600,1.0
30700,0.875
30800,0.875
30900,0.875
31000,1.0
31100,0.875
31200,0.75
31300,0.875
31400,0.75
31500,1.0
31600,1.0
31700,1.0
31800,1.0
31900,1.0
32000,0.875
32100,1.0
32200,1.0
32300,1.0
32400,1.0
32500,0.75
32600,1.0
32700,1.0
32800,1.0
32900,1.0
33000,0.875
33100,1.0
33200,1.0
33300,1.0
33400,1.0
33500,0.875
33600,1.0
33700,1.0
33800,1.0
33900,1.0
34000,0.875
34100,0.875
34200,1.0
34300,1.0
34400,1.0
34500,1.0
34600,1.0
34700,1.0
34800,1.0
34900,1.0
35000,1.0
35100,1.0
35200,1.0
35300,0.875
35400,0.875
35500,1.0
35600,1.0
35700,0.875
35800,1.0
35900,1.0
36000,1.0
36100,0.875
36200,1.0
36300,1.0
36400,0.875
36500,1.0
36600,1.0
36700,1.0
36800,1.0
36900,1.0
37000,0.875
37100,1.0
37200,1.0
37300,1.0
37400,0.75
37500,1.0
37600,1.0
37700,0.875
37800,1.0
37900,1.0
38000,1.0
38100,0.75
38200,0.875
38300,1.0
38400,1.0
38500,1.0
38600,1.0
38700,1.0
38800,1.0
38900,0.875
39000,0.875
39100,0.875
39200,1.0
39300,1.0
39400,1.0
39500,1.0
39600,1.0
39700,1.0
39800,1.0
39900,1.0
40000,0.875
40100,0.875
40200,1.0
40300,1.0
40400,0.875
40500,0.875
40600,1.0
40700,1.0
40800,0.875
40900,1.0
41000,0.875
41100,0.75
41200,0.875
41300,1.0
41400,1.0
41500,0.875
41600,1.0
41700,1.0
41800,1.0
41900,1.0
42000,1.0
42100,1.0
42200,0.875
42300,1.0
42400,1.0
42500,1.0
42600,1.0
42700,1.0
42800,0.875
42900,1.0
43000,1.0
43100,1.0
43200,1.0
43300,1.0
43400,1.0
43500,1.0
43600,0.875
43700,1.0
43800,1.0
43900,1.0
44000,1.0
44100,1.0
44200,1.0
44300,1.0
44400,1.0
44500,0.875
44600,1.0
44700,0.875
44800,0.875
44900,0.875
45000,1.0
45100,1.0
45200,0.875
45300,1.0
45400,1.0
45500,1.0
45600,0.875
45700,0.875
45800,0.75
45900,1.0
46000,1.0
46100,0.875
46200,1.0
46300,1.0
46400,1.0
46500,1.0
46600,1.0
46700,0.875
46800,1.0
46900,1.0
47000,1.0
47100,1.0
47200,1.0
47300,1.0
47400,1.0
47500,1.0
47600,1.0
47700,1.0
47800,1.0
47900,0.625
48000,1.0
48100,1.0
48200,1.0
48300,1.0
48400,1.0
48500,1.0
48600,1.0
48700,1.0
