step,loss
0,0.3672113
100,0.26218995
200,0.38867062
300,0.27250177
400,0.4026589
500,0.39032784
600,0.37552613
700,0.26256603
800,0.33653283
900,0.39192006
1000,0.15932243
1100,0.34471217
1200,0.2836642
1300,0.37634
1400,0.45612448
1500,0.34591463
1600,0.32588986
1700,0.27784374
1800,0.32498375
1900,0.41791338
2000,0.24554606
2100,0.34242058
2200,0.21004014
2300,0.29072428
2400,0.19839567
2500,0.31531933
2600,0.24759601
2700,0.33293238
2800,0.2514531
2900,0.27607027
3000,0.29887247
3100,0.36210895
3200,0.38560855
3300,0.2866732
3400,0.2687281
3500,0.3448303
3600,0.21779276
3700,0.22944237
3800,0.20161156
3900,0.2189703
4000,0.2599559
4100,0.18619621
4200,0.1361706
4300,0.18024717
4400,0.32515627
4500,0.1755837
4600,0.36513752
4700,0.21159512
4800,0.2626292
4900,0.25674126
5000,0.29474416
5100,0.1875154
5200,0.19247991
5300,0.14957803
5400,0.06367704
5500,0.12251418
5600,0.15341628
5700,0.24056727
5800,0.269439
5900,0.20887327
6000,0.17450857
6100,0.25829569
6200,0.19330463
6300,0.22094294
6400,0.1424942
6500,0.17721216
6600,0.1008483
6700,0.18836467
6800,0.19437109
6900,0.08116679
7000,0.2844722
7100,0.30261317
7200,0.21296413
7300,0.29268825
7400,0.21247193
7500,0.15270585
7600,0.2547368
7700,0.22185023
7800,0.103971966
7900,0.13223559
8000,0.28849998
8100,0.20416453
8200,0.16800517
8300,0.14911813
8400,0.2845745
8500,0.21759322
8600,0.18360059
8700,0.12282841
8800,0.07828293
8900,0.27266952
9000,0.19612652
9100,0.19454545
9200,0.097215585
9300,0.19253856
9400,0.22151124
9500,0.15874879
9600,0.085506625
9700,0.06105859
9800,0.13018988
9900,0.08380275
10000,0.16059504
10100,0.2593397
10200,0.30461255
10300,0.15095435
10400,0.14614114
10500,0.11761936
10600,0.076809995
10700,0.11447328
10800,0.09836952
10900,0.20925526
11000,0.107358895
11100,0.18091269
11200,0.22320546
11300,0.07188393
11400,0.16950232
11500,0.1153069
11600,0.23188768
11700,0.14942242
11800,0.19094738
11900,0.111078165
12000,0.18525997
12100,0.088691056
12200,0.1617217
12300,0.081551224
12400,0.12595417
12500,0.16647089
12600,0.17174825
12700,0.17912076
12800,0.14966647
12900,0.12585779
13000,0.15344326
13100,0.15475427
13200,0.12921983
13300,0.14048845
13400,0.10433309
13500,0.072791785
13600,0.14063078
13700,0.070646666
13800,0.08931856
13900,0.095643185
14000,0.11144089
14100,0.18812646
14200,0.07115975
14300,0.11181658
14400,0.17536259
14500,0.16457614
14600,0.19959247
14700,0.17439215
14800,0.108254716
14900,0.110208414
15000,0.11310077
15100,0.10157737
15200,0.13057652
15300,0.08020084
15400,0.13364334
15500,0.11265691
15600,0.09401599
15700,0.14051735
15800,0.07086684
15900,0.14291614
16000,0.28314027
16100,0.089864396
16200,0.0889824
16300,0.17237976
16400,0.21852545
16500,0.13727312
16600,0.07226122
16700,0.07297678
16800,0.079719305
16900,0.1556081
17000,0.11105596
17100,0.21733804
17200,0.15032347
17300,0.15157183
17400,0.114848845
17500,0.12174073
17600,0.07555993
17700,0.12057401
17800,0.060271185
17900,0.2024532
18000,0.12534654
18100,0.07510191
18200,0.099707335
18300,0.12978543
18400,0.115775764
18500,0.16188131
18600,0.22399424
18700,0.0436069
18800,0.09109319
18900,0.21119592
19000,0.11726939
19100,0.057315513
19200,0.19030917
19300,0.1433303
19400,0.12873928
19500,0.08642092
19600,0.111848176
19700,0.09548265
19800,0.074254155
19900,0.17264633
20000,0.117264055
20100,0.087222785
20200,0.12460498
20300,0.077320166
20400,0.19948809
20500,0.118977375
20600,0.11770957
20700,0.09164614
20800,0.10605199
20900,0.10004945
21000,0.071282245
21100,0.087565936
21200,0.07628552
21300,0.15433569
21400,0.111932226
21500,0.06948247
21600,0.06362601
21700,0.093345076
21800,0.11797755
21900,0.0985566
22000,0.16320424
22100,0.22775127
22200,0.11387334
22300,0.08259805
22400,0.10886085
22500,0.12039894
22600,0.16850254
22700,0.11010174
22800,0.13916098
22900,0.11926095
23000,0.06770236
23100,0.14889582
23200,0.13417614
23300,0.068030395
23400,0.06676735
23500,0.1015471
23600,0.14946897
23700,0.11036008
23800,0.08731639
23900,0.13030319
24000,0.10449892
24100,0.08714359
24200,0.18538575
24300,0.1182321
24400,0.100906074
24500,0.081489556
24600,0.1720398
24700,0.06368722
24800,0.06671251
24900,0.06712936
25000,0.21217418
25100,0.064602956
25200,0.088303514
25300,0.08151215
25400,0.06910467
25500,0.124563985
25600,0.12510368
25700,0.21274751
25800,0.04211449
25900,0.13504452
26000,0.1611008
26100,0.09949847
26200,0.09143626
26300,0.12820804
26400,0.117672615
26500,0.08057648
26600,0.10538767
26700,0.087678574
26800,0.12136442
26900,0.12313721
27000,0.072064295
27100,0.12077746
27200,0.124921
27300,0.049289253
27400,0.09391974
27500,0.04115011
27600,0.06922469
27700,0.068319164
27800,0.095432654
27900,0.080243684
28000,0.027391708
28100,0.15320389
28200,0.0998433
28300,0.07529427
28400,0.06778502
28500,0.13784048
28600,0.049228482
28700,0.16730446
28800,0.110723756
28900,0.061267354
29000,0.051536277
29100,0.093506634
29200,0.08569094
29300,0.12597428
29400,0.09682891
29500,0.11404936
29600,0.12894487
29700,0.12181278
29800,0.09826056
29900,0.0643055
30000,0.229702
30100,0.087284684
30200,0.06906312
30300,0.13306686
30400,0.059676096
30500,0.05879335
30600,0.05424546
30700,0.097236134
30800,0.15966924
30900,0.09119669
31000,0.07758457
31100,0.12024689
31200,0.1300937
31300,0.08094331
31400,0.13977973
31500,0.10930196
31600,0.06821541
31700,0.1138984
31800,0.06814039
31900,0.1105422
32000,0.16020893
32100,0.07228602
32200,0.09625649
32300,0.14194612
32400,0.041173626
32500,0.12745745
32600,0.08402943
32700,0.08631064
32800,0.09857889
32900,0.10519332
33000,0.103650324
33100,0.078282095
33200,0.089114584
33300,0.072017744
33400,0.06444117
33500,0.14187591
33600,0.09305511
33700,0.083361365
33800,0.056308005
33900,0.09056503
34000,0.09073099
34100,0.0937256
34200,0.06443107
34300,0.12029978
34400,0.07895004
34500,0.10783707
34600,0.114933416
34700,0.12664787
34800,0.08042893
34900,0.07575342
35000,0.11646169
35100,0.06876607
35200,0.08060352
35300,0.12357765
35400,0.099165946
35500,0.02584565
35600,0.062243536
35700,0.14188442
35800,0.10789728
35900,0.05389073
36000,0.10266189
36100,0.11201735
36200,0.10225039
36300,0.079818435
36400,0.13897197
36500,0.054772347
36600,0.097533435
36700,0.0854826
36800,0.08160815
36900,0.049318746
37000,0.095390774
37100,0.054703396
37200,0.07508021
37300,0.08647081
37400,0.18907724
37500,0.031140342
37600,0.07352423
37700,0.19762552
37800,0.09858671
37900,0.038098853
38000,0.09796202
38100,0.130769
38200,0.10555214
38300,0.06627784
38400,0.036095314
38500,0.020881984
38600,0.121450745
38700,0.087117866
38800,0.07744852
38900,0.09404775
39000,0.06625466
39100,0.10633113
39200,0.090145
39300,0.08291588
39400,0.037705615
39500,0.09842853
39600,0.054521162
39700,0.093266405
39800,0.10374135
39900,0.047518164
40000,0.15816309
40100,0.08968123
40200,0.09541145
40300,0.058500845
40400,0.07997026
40500,0.08181964
40600,0.05302394
40700,0.06792323
40800,0.10708367
40900,0.0809494
41000,0.11348385
41100,0.14210114
41200,0.09224662
41300,0.05235329
41400,0.103508405
41500,0.075533494
41600,0.043854225
41700,0.07891411
41800,0.0675253
41900,0.05534617
42000,0.07849179
42100,0.11742001
42200,0.08234365
42300,0.08443477
42400,0.062427502
42500,0.06572923
42600,0.1041141
42700,0.07139259
42800,0.09831358
42900,0.062754855
43000,0.050505586
43100,0.05883634
43200,0.08203354
43300,0.0623719
43400,0.107644126
43500,0.096890844
43600,0.110078655
43700,0.081874825
43800,0.03871064
43900,0.06620168
44000,0.023163373
44100,0.044222295
44200,0.08990698
44300,0.041785903
44400,0.112317525
44500,0.07480248
44600,0.066460714
44700,0.09754599
44800,0.08770495
44900,0.12918222
45000,0.040369667
45100,0.09343884
45200,0.084799625
45300,0.058089435
45400,0.04091181
45500,0.07729305
45600,0.10725228
45700,0.14492813
45800,0.15140043
45900,0.10905193
46000,0.061165627
46100,0.11364004
46200,0.09459132
46300,0.06990019
46400,0.08296999
46500,0.07507894
46600,0.100289814
46700,0.094909996
46800,0.07612099
46900,0.0528822
47000,0.08585595
47100,0.09025714
47200,0.04049706
47300,0.07298877
47400,0.046477705
47500,0.06680699
47600,0.04245907
47700,0.060215265
47800,0.046580616
47900,0.14787102
48000,0.038412847
48100,0.10846899
48200,0.07153535
48300,0.05101212
48400,0.04842656
48500,0.07081203
48600,0.030507933
48700,0.09082697
